,username,userid,time,id,text,davidson,waseem,fountana
0,Narendra Modi,@narendramodi,31516201.0,1292133682791059456,Sharing some glimpses from the newly inaugurated Rashtriya Swachhata Kendra.  ,0.05461775971461876,0.14785031361393244,0.01884659
78,Diwakar Singh ,@ThakurDiwakarS,1596883885.0,1292133682791059456,Replying to @narendramodi जय श्री राम  ,0.14261017622753694,0.03352323163434365,0.03141066
79,sidyyyy  boyyy ,@Chanderk25,1596883886.0,1292133682791059456,Replying to @narendramodi Jai shri ram   ,0.14109243565111673,0.10400506345967048,0.01457981
80,Rohit Kumar,@IMROHITKUMAR10,1596883886.0,1292133682791059456,"Replying to @narendramodi माननीय प्रधानमंत्री नरेंद्र मोदी आप से यह गुजारिश है कि सीबीएसई कंपार्टमेंट एग्जाम नेशन जो सीबीएससी की तरफ से दिया गया है उसमें बहुत सारे बच्चे मानसिक तनाव में है l
कृपया करके सभी बच्चों को एग्जाम में पास करवा दें जिस तरह से दिल्ली वाले बच्चों को पास किया गया था।  ",0.4668108085695284,0.0741612356127514,0.11734561
81,Dr.Narendra kumar Vemulapalli,@vnk9999,1596883887.0,1292133682791059456,Replying to @narendramodi   ,0.152312292103482,0.03352323163434365,0.010156601
82,CHETAN ,@TrueIndian0202,1596883889.0,1292133682791059456,"Replying to @narendramodi Dear INCians,

Pls follow me
I will Follow Back %
@TrueIndian0202  ",0.2594435178243482,0.2396548189241048,0.016250378
83,हिन्दू शुभम द्विवेदी बीजेपी समर्थक,@shubhamd1993,1596883891.0,1292133682791059456,Replying to @narendramodi Jai Shree Ram  ,0.16553663683143446,0.09625788766386696,0.01944003
84,Ashu Makhijani,@AshishMakhijani,1596883892.0,1292133682791059456,"Replying to @narendramodi Wo Din Kab Aayega Jab BIO Me Sirf Ye Likha Hoga 

“Blessed To Followed By Prime Minister Shri @narendramodi Ji 
#ModijiFollowBackDijiye   ",0.09230242451366467,0.5956221765349942,0.020773152
85,Rawat Nain Singh,@RawatNainSingh1,1596883892.0,1292133682791059456,Replying to @narendramodi जय श्री राम   ,0.14971768158658091,0.03352323163434365,0.03141066
4,Yogeesha K,@kotian_yogeesha,1596883895.0,1292133682791059456,"Replying to @narendramodi  Karna Mahabharat Whatsapp StatusPlease Subscribe, Like and share. #Mahabharatha #Mahabharat #Karna #Arjun #Krishna #Bhima #Mahabharat #Karna #Karn #Indra #Suryaputhra #Kunthi #Bhishm #Dhron...youtube.com ",0.004350428494809528,0.3995073622585272,0.043830317
86,Nidhi Pandey,@NidhiSpeak,1596883901.0,1292133682791059456,Replying to @narendramodi स्वच्छ भारत   ,0.18757495198628046,0.03352323163434365,0.031532227999999995
88,प्रसून मिश्रा | Prasoon mishra,@Prasoonmishra08,1596883904.0,1292133682791059456,"Replying to @narendramodi आपकी #शोहरत किसी #अख़बार की मोहताज नहीं.. 
#सीने से लगाए फिरते हैं #आपको आपके #चाहने वाले.  ",0.30811238870057905,0.3874826888965949,0.061959642999999995
87,Nikita Malviya,@NkMalviya10,1596883904.0,1292133682791059456,Replying to @narendramodi Lovely Very Nice Sir   ,0.054570217918117635,0.09003839004160133,0.020399926000000002
90,अमित पांडेय,@ISHUPANDEY,1596883905.0,1292133682791059456,Replying to @narendramodi जय हो विजय हो  ,0.1485694743418125,0.03352323163434365,0.024559308
