username,userid,time,id,text,davidson,waseem,fountana
Sassy ass Cindy,@CindyKendrick11,31516201,1323355852540170242,Why in TF is creepy Joe yelling all the damn time??  ,0.8504784346623155,0.0808120255332359,0.8542725
BidenNotMyPresident,@lovetorunman,1604327937,1323355852540170242,"Replying to @CindyKendrick11 I know, it’s crazy!! GIF ",0.3870028916466077,0.0774496443926463,0.023494055
Sassy ass Cindy,@CindyKendrick11,1604327941,1323355852540170242,Hehe  ,0.23023034134437895,0.036098646087714695,0.13745724
Van De Licked,@VLicked,1604328249,1323355852540170242,Replying to @CindyKendrick11 Because he's nuts!  ,0.5871434725043371,0.07175998479295181,0.043632444
Mickey Mixon,@Mickman525,1604328334,1323355852540170242,Replying to @CindyKendrick11 I guess he’s going deaf too. GIF ,0.24284064959128424,0.08200147655114541,0.024427617
polatra,@polatra,1604328383,1323355852540170242,Replying to @CindyKendrick11 For sure it’s not a happy yelling.  ,0.6373041893254491,0.0393759319438857,0.026120806
Just David...,@CrazySthrnSmurf,1604328395,1323355852540170242,Replying to @CindyKendrick11 He doesnt understand that the voices he is hearing is in his ear.  ,0.11674044253735046,0.23796215680207383,0.07078019
Chiselhead 2,@aginghunk77,1604328506,1323355852540170242,Replying to @CindyKendrick11 Think His HEARING IS Shot  ,0.19837941760959454,0.1544648518358774,0.04538989
Illegitimate President Undisclosed,@Undiscl31222164,1604328576,1323355852540170242,Replying to @CindyKendrick11 High-volume gibberish is a beautiful thing!  ,0.03891734749896564,0.17193949615019125,0.027240269
Michael Grimaldi,@grimaldi_mg,1604328707,1323355852540170242,"Replying to @CindyKendrick11 That’s what people who are very unsure of themselves do. They yell, rant & rave, just like a 3 year old.  ",0.3565551843512573,0.4184755521975546,0.062189102
Paul Miller,@04PaulMiller21,1604328865,1323355852540170242,Replying to @CindyKendrick11 So he can hear his own lies.  ,0.8088286198580503,0.22509934319501143,0.03961452
JRScholl,@jrscholl2,1604329058,1323355852540170242,Bingo  ,0.17380165071055628,0.022836946543717308,0.09457337
Hespeler Conservativ,@Hesconservative,1604329722,1323355852540170242,Replying to @CindyKendrick11 Many Seniors do that when they are losing their hearing.  ,0.3045591442479399,0.2706266232447888,0.014013361
 Framin_Raymond ,@Framin_Raymond,1604329778,1323355852540170242,"Replying to @CindyKendrick11 Yelling at the teleprompter to slow down, he can't keep up with it   ",0.8015804549960139,0.07778846949166868,0.12848668
DeplorableRetiredTexasFirstResponder,@TxNosselwop,1604329830,1323355852540170242,Replying to @CindyKendrick11 That’s part of the Alzheimer’s with mixed dementia.  ,0.13862367948389867,0.22774503109605057,0.025957948
John,@JWC0506,1604329832,1323355852540170242,Replying to @CindyKendrick11 His puppet master told him if he talked louder it’ll help him stay awake & people may listen  ,0.2593986722669937,0.15269514297284387,0.02322406
Luis David,@LuisDavidDecszy,1604329874,1323355852540170242,Replying to @CindyKendrick11 The mental health of biden is worst everyday.  ,0.46638736446357093,0.3874603656085113,0.031137802
MJ2257,@xblacksheep57,1604330050,1323355852540170242,Replying to @CindyKendrick11 sun downers.....  ,0.11983091760834141,0.220393396117949,0.017145103
Pens88fan1,@pens88fan1,1604330212,1323355852540170242,Replying to @CindyKendrick11 Dj khaled wrote his speeches.  ,0.1820180068735071,0.13443351116879218,0.035488307
Coolgee,@Coolgee20,1604330241,1323355852540170242,Replying to @CindyKendrick11 Because many Dementia patients lose their hearing too!  ,0.5193430055977682,0.23570928759413323,0.026671145
Canadianpatriot,@denis94588840,1604330467,1323355852540170242,Replying to @CindyKendrick11 Mask is on too tight   ,0.3475259050369028,0.14038147001005624,0.047705505
Samuel,@sam312213mas,1604330896,1323355852540170242,Replying to @CindyKendrick11 Because he is afraid  ,0.3819714858312926,0.18383567858902097,0.025445074
Van,@vk3000gt,1604331979,1323355852540170242,Replying to @CindyKendrick11 The twelve people at his rallies cant hear him cus of his social distancing  ,0.5014042266289619,0.23266998696673938,0.052288577
guitarfanatic2,@mjabo2000,1604332206,1323355852540170242,Replying to @CindyKendrick11 He's hard of hearing GIF ,0.37906114704845495,0.13900105419387954,0.033482525
s. newman,@snewman11639488,1604333388,1323355852540170242,Replying to @CindyKendrick11 Cause his head is empty and he like the echo   ,0.5430897551105809,0.22822109461514511,0.031223305
JDavisDawg,@jdavisdawg,1604333974,1323355852540170242,Replying to @CindyKendrick11 “Get off my lawn”  ,0.27209419351164144,0.15832742903946656,0.29115063
Alan Dale Adams,@AlanDaleAdams,1604334809,1323355852540170242,Replying to @CindyKendrick11 Cause he's an idiot  ,0.6548720436837994,0.24949093516321078,0.06758821
Christopher Gonzalez,@CeeAichAreEyeEs,1604335783,1323355852540170242,Replying to @CindyKendrick11 It probably polled well among weirdo lefties  ,0.4162086687282745,0.08981630330467817,0.062762365
Dr. Marc,@Madckmn,1604335884,1323355852540170242,Replying to @CindyKendrick11 That is one of the signs of Alzheimer’s...  ,0.3837226381818288,0.43694374444318534,0.032746006
Sassy ass Cindy,@CindyKendrick11,1604336775,1323355852540170242,  ,1.7657473994997906e-130,0.018132475529601334,0.010068049
Jeff,@JeffGniffke1,1604340351,1323355852540170242,"Replying to @CindyKendrick11  S07E22 - Grampa's Story from Nineteen Dickety TwoThe Simpsons - Season 07 - Episode 22""Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish' ""youtube.com ",0.021112802874823512,0.15879345601613695,0.026779562
TJ Conwell,@RevConwell,1604343564,1323355852540170242,"Replying to @CindyKendrick11 Maybe after tomorrow we can no longer hear from him anymore.   Ya know, perhaps he can become officially as irrelevant as Hillary?  ",0.08973521948245618,0.32051130419589846,0.010615762
Dfaye,@rainsbeauty,1604346718,1323355852540170242,"Replying to @CindyKendrick11 He's showing his true colors of hatred toward ""The People."" He's spitting venom and red-faced. Next, we'll see devil horns protruding out of that old goat's head!  ",0.25750827896067147,0.22218786511128952,0.38142774
