username,userid,time,id,text,davidson,waseem,fountana
Mollie,@MZHemingway,31516201,1195405944429170688,"Guys, we get that you feel Orange Man Bad deep in your bones, but this is almost too silly for words. Like, listen to yourselves. Quote TweetJake Tapper@jaketapper · Nov 15, 2019Amb. Yovanovitch testifies about POTUS and his team smearing her.

During her testimony, Pres. Trump goes on twitter and attacks her.

Asked for her reaction in real time, the witness says she finds the attack intimidating.

A potential article of impeachment, right there. ",0.9273280984676473,0.5342084279841554,0.1592826
David Galloway,@DavidBGalloway,1573822240,1195405944429170688,"Replying to @MZHemingway This includes Jon Roberts, Bret Baier, and the rest of Fox this morning.  ",0.020169834031683154,0.09593069030991042,0.026552344
Re-Education Camp Member #79345218,@Silver_Hornet,1573822245,1195405944429170688,Replying to @MZHemingway MSM knows no bounds to their own stupidity and corruption.  ,0.3768155313072187,0.3259772379156676,0.41573015
Victor Kabi,@VictorKabi,1573822258,1195405944429170688,Replying to @MZHemingway He’s not wrong. But keep trying cause you have nothing left.  ,0.3559217512055373,0.2434868501270691,0.0145136835
Jordan,@JordanLethal,1573822268,1195405944429170688,Replying to @MZHemingway BUT JIM HIMES IS ANGRY  ,0.7763239373413912,0.2455944072716263,0.8237791
Tyler C,@TylerTweets2,1573822271,1195405944429170688,Replying to @MZHemingway Hey Mollie. Who pays for the Federalist?  ,0.1074456852947431,0.3177234918813654,0.071391426
I Love the U.S.A.,@RGconfidential,1573822275,1195405944429170688,Replying to @MZHemingway #SHAMpeachment  ,0.10882078013438444,0.10771200681599333,0.023101022
BunBanker,@BankerBun,1573822293,1195405944429170688,Replying to @MZHemingway Telling someone you don’t like them is witness intimidation now.  LOL these people are complete clowns.  ,0.22365582813307866,0.19548066912034745,0.7766126
HotSauceJeff,@HotSauceJeff1,1573822294,1195405944429170688,Replying to @MZHemingway I still can't see an attack on her. I see a summary of @realDonaldTrump opinions of #Yovanovitch service.  ,0.27799734393844117,0.3732271784493664,0.014034623
Snopp Doog,@chrispossible,1573822298,1195405944429170688,"Replying to @MZHemingway Solid argument Mollie, like, totally.  ",0.12395365432976672,0.18226066810929906,0.053250324
TXPHS,@Txphs,1573822304,1195405944429170688,Desperation on who’s part?   ,0.578870440424341,0.12989555180984416,0.09570443
David,@CrookedKnight,1573822312,1195405944429170688,"Replying to @MZHemingway ""Witness intimidation...really, what *is* that?""  ",0.0627921442199082,0.19511567116390974,0.06712586
Comfortably Numb,@YGalanter,1573822324,1195405944429170688,"Replying to @MZHemingway Really? ""Orange Man Bad""? In 2019? Next you will post NPC meme?  ",0.6076459704875483,0.2655133423984315,0.011709144
XanaduLost005,@Ice9Rosewater,1573822331,1195405944429170688,"Replying to @MZHemingway Trump's campaign chair: felon
Trump's deputy campaign chair: felon
Trump's foreign policy adviser: felon
Trump's national security adviser: felon
Trump's personal lawyer: felon
Trump's longstanding political adviser: felon  ",0.00013372937985569434,0.10517851138245014,0.043353822
Johnny Flynn,@JohnnyFlynn75,1573822333,1195405944429170688,Replying to @MZHemingway Too silly for words should be the title of your biography  ,0.3866391856206704,0.22718281978285237,0.015086247
Patrick,@PMC713,1573822334,1195405944429170688,Replying to @MZHemingway I really hope Tapper stops pretending to be a straight news guy.  ,0.22826194970949917,0.11287592666048023,0.048155915
"Dr. Andy Andrews, Ph.D.",@misterandyandr1,1573822336,1195405944429170688,"Replying to @MZHemingway Looks like an attack to me, no?  ",0.08706724172572254,0.13829914798426468,0.03920053
~/,@terribly_nice,1573822345,1195405944429170688,Replying to @MZHemingway Get up to date.  ,0.10573754806243263,0.08281615737147945,0.011563811
Immune to Boredom,@immunetoboredom,1573822352,1195405944429170688,Replying to @MZHemingway Who pays your salary?  ,0.24554942385565248,0.21482725506107514,0.015805043
George Washington,@G_dubyaP85,1573822354,1195405944429170688,"Replying to @MZHemingway They're literally making themselves look stupid by entertaining this...but their base eats it up, so no loss for them.  ",0.13276546506148695,0.4280626105743219,0.052234493
Toby T,@Tobizoid,1573822357,1195405944429170688,Replying to @MZHemingway So now we’re going to impeach for mean tweets. Unbelievable. We’re through the looking glass Alice.  ,0.09111687438437668,0.11116699660702059,0.02219043
Connie C. Keys,@hotelkeys,1573822358,1195405944429170688,Replying to @MZHemingway Who pays your salary? GIF ,0.2701464774710885,0.21577352167100586,0.017002061
Paul D,@Paulmd199,1573822369,1195405944429170688,Replying to @MZHemingway Intimidation of witnesses is something people go to jail over.  ,0.26166894840641086,0.08842028512180332,0.07177321
Doug,@Y0BTVOYUMAT,1573822380,1195405944429170688,"That would be so totally original. She should, like, do it.  ",0.3379409998888055,0.23015032279786188,0.056711983
Michelle G - Black Lives Matter!,@9ontheturn,1573822386,1195405944429170688,"Replying to @MZHemingway  Quote TweetJames Poniewozik@poniewozik · Nov 15, 2019Ken Starr on Fox News: “The president was not advised by counsel in deciding to do this tweet. Extraordinarily poor judgment… Obviously this was quite injurious.” ",0.0008932822156103158,0.24019670283499786,0.024800608
simile dickinson,@MST3KNKOTB,1573822399,1195405944429170688,Replying to @MZHemingway I'm listening and it sounds like people are accusing the president of a crime just because he did that crime???!  ,0.7729045598043629,0.22113884197541023,0.22772618
Chatty Labelle,@justunique09,1573822404,1195405944429170688,Replying to @MZHemingway Ken star crawled out of his crypt to say the same thing Mollie... GIF ,0.17813461426903068,0.255013918263006,0.086139895
jacob,@JHead1984,1573822408,1195405944429170688,Replying to @MZHemingway This is why nobody likes you.  ,0.2750453571296365,0.14387270786497522,0.034933206
Marxist-Lindorist,@Chaco_Chicken,1573822408,1195405944429170688,Replying to @MZHemingway I bet the Federalist is funded by money launderers and human traffickers.  ,0.060656889961135815,0.39767747097561057,0.11274045
Alan Kaiser,@alanhkaiser,1573822409,1195405944429170688,"Replying to @MZHemingway Fact: Another Trumper close to the serial sexual predator,  is convicted of a crime.  ",0.24324971637989912,0.3283620478793215,0.035734013
kp,@kpmd2000,1573822442,1195405944429170688,Replying to @MZHemingway Say hi to Roger for me  ,0.18887047387702813,0.07640386940344748,0.020594116
Qa'a - 2910 BC Pharoah,@olivierserge,1573822456,1195405944429170688,Replying to @MZHemingway @jaketapper is done being logical. This is all out war for him.  ,0.29987626050205574,0.35094484702207907,0.59631705
"Mr. Beverages 6'9"" IQ 420",@j_beverages,1573822471,1195405944429170688,Replying to @MZHemingway oh for sure but who funds the Federalist  ,0.11816430708165754,0.1617731874622182,0.043804202
Variant   ,@MildlyJoel,1573822472,1195405944429170688,Replying to @MZHemingway Apparently liberals are really thin-skinned.  ,0.02174345654996934,0.11213752331167136,0.17914742
Rob Anderson,@RobertoPedazo,1573822473,1195405944429170688,Replying to @MZHemingway You get paid for this?  ,0.07247055823176479,0.07912655358612825,0.052344535
TheOpinant,@OpinantThe,1573822478,1195405944429170688,"Replying to @MZHemingway To say this is absurd is being polite. If she wasn't told, how would she have known? Was she on Twitter while testifying? 
If no one had told her, she couldn't have been intimidated. And her saying so? Speaks volumes.  ",0.06185701727158949,0.36768862822824905,0.030818883
BearsBasketballMom,@BearsBasketbal1,1573822482,1195405944429170688,"Replying to @MZHemingway How could it be intimidation if he was tweeting in while she was on the witness stand without access to Twitter, and therefore would not have known he said anything without Schiff bringing it up?  ",0.2747024538659905,0.10455315390333747,0.041808955
Robert Poh,@robert_poh,1573822497,1195405944429170688,"Replying to @MZHemingway She got herself canned because, as a bona fide entrenched member of the deep state, she was a thorn in Trump’s side.  She served at the pleasure of the President.  Period.  ",0.915048904738619,0.49776150882866965,0.29881722
Chris Wilsher,@cdwilsher,1573822519,1195405944429170688,Replying to @MZHemingway You're the only person on the face of the planet who doesn't think Trump's tweet was attempted witness intimidation  ,0.05487445503067864,0.20271905369419152,0.19868444
Daily Sausage,@daily_sausage,1573822522,1195405944429170688,"Replying to @MZHemingway Guys, we realize you probably make good money to sell your soul and betray your country, but this is almost too silly for words.  Do better Mollie.  ",0.14020333684516353,0.2998773553349773,0.01295822
BlueKel,@bluekel,1573822543,1195405944429170688,Replying to @MZHemingway Listen to the corruption from Orange Mussolini  ,0.07392644786217903,0.19946901679716264,0.030515045
Tim in AZ,@_Tim_AZ,1573822550,1195405944429170688,Replying to @MZHemingway and @kelliwardaz If she finds Trump's tweets hurtful then she should mute him.  ,0.4316425966529123,0.39288903743428377,0.04073549
Michelle G - Black Lives Matter!,@9ontheturn,1573822572,1195405944429170688,"She was removed, because she was pursuing US national security interests and anti-corruption - which went against tRUmp's personal interests and corrupt motives. She's a material witness.  ",0.010210825803100896,0.2704544935638064,0.02198396
JRS,@joesmit75669581,1573822577,1195405944429170688,Replying to @MZHemingway I love to laugh at Jake “Yapper”.  ,0.09860141977021313,0.055739825406030195,0.026764462
otherside of somewhere,@princewizardkid,1573822592,1195405944429170688,She wasnt loved by Amerians either..  ,0.8802298439827447,0.3136270388514391,0.12940863
Scottie,@ix_sir,1573822621,1195405944429170688,"I’m blocked, but let me guess. Is Mollie debasing herself again?  ",0.15639843481159346,0.33283963988175425,0.11101703
Mike McMahon,@MikeMcbyz,1573822637,1195405944429170688,Replying to @MZHemingway @jaketapper boo-friggin-hoo Jake. She accepted a role to serve at the “will” of the POTUS. She knew that going in. I am sure without any worry she will be a do nothing professor somewhere soon earning hundreds of thousands of dollars. Way more than the average American.  ,0.2774576510965176,0.5137062192058631,0.02023758
Fefe Nero,@FiddlerNero,1573822646,1195405944429170688,Replying to @MZHemingway Showing who they really are.  ,0.22459570447576452,0.1299365920239956,0.014981273
Róbert,@atreyu1021,1573822660,1195405944429170688,Trump can shoot someone on 5th Ave and it’s still not bad .  ,0.2913997809814169,0.20928554188173584,0.05855257
KDM,@kdmartin52,1573822660,1195405944429170688,"Replying to @MZHemingway This will not end, the hate is too strong. The Democrats are like rabid dogs. I hope Donald Trumps victory in 2020 kicks all the Democrats out,if not all I will settle with a Republican Landslide.I am fed up with the corruption from the Democrats and their refusal to do their job  ",0.000482214296412255,0.6119800638125173,0.17535418
L. Greg Jones,@GregsTakeOn,1573822715,1195405944429170688,"Replying to @MZHemingway wait .. is this a criminal trial or not.. coz it sure seems to me, they want it to use rules of criminal procedure when it suits them and they don't when it doesn't.. witness tampering? seriously?? and someone please take POTUS phone away from him. p  ",0.04448835121459539,0.4784676207516782,0.17746317
Kagekini_Unbreakable_Body,@kagekini,1573822716,1195405944429170688,"Replying to @MZHemingway Yes, you are too silly for words.  ",0.25182750559413125,0.1296397432002881,0.01622184
KDM,@kdmartin52,1573822718,1195405944429170688,Maybe they deserve shooting.  ,0.2623821240209559,0.029789926513084465,0.7847391
Sparkmaker,@plug_maker,1573822729,1195405944429170688,"Replying to @MZHemingway Catherine Engelbrecht felt intimidated too, Jakeass, but you didn’t really care about that very much, did you?  ",0.04280671799550625,0.17925532539401237,0.049419355
Barnabas Marsh,@MattresD,1573822746,1195405944429170688,"Replying to @MZHemingway ""Yeah sure, this is all normal, nothing to see here."" This seems to be Mollie's job title.  ",0.016410530510740044,0.14410755736560152,0.03655669
Colin'sAutismAdvo,@WaggNtx,1573822747,1195405944429170688,"Replying to @MZHemingway Yea I got uncomfortable when Trump started “live tweeting “ but it quickly faded once the preening democrats started back down their orange man bad road..all media(democrats) quiet on Obama Iran, Benghazi, Syria, China,Russia snafus-or his donors getting cushy jobs#hypocrisy  ",0.2116931277977961,0.553493049298385,0.08917988
Joeyboy,@Joeyboy25526204,1573822776,1195405944429170688,Replying to @MZHemingway Jake Tapper  Legal  expert  ,0.10688194395382727,0.12264856343534136,0.029094959
Wendy Vive la résistance ,@WendyFF5,1573822792,1195405944429170688,"Replying to @MZHemingway Like, K, but srsly prez is like intimidating witnesses in real time so it's like OMG, what? And, like, hashtag For Real? Like, srsly?  ",0.913739664177244,0.15719103393814463,0.059120987
Killian Thyme,@KillianThyme,1573822801,1195405944429170688,"Replying to @MZHemingway Not only that, but she undermines that argument with her own words right here: Quote TweetCBS News@CBSNews · Nov 15, 2019Yovanovitch shoots down claims of a Ukrainian ""plan"" or ""plot"" against Trump: ""People are critical, and that does not mean that someone is, or a government is, undermining either a campaign or interfering in elections"" https://cbsnews.com/live-news/trump-impeachment-public-hearing-live-stream-testimony-marie-yovanovitch-today-2019-11-15/… ",0.9894699159846213,0.7424109253454639,0.27045575
Brian Barsda,@BrianBarsda,1573822815,1195405944429170688,Witness intimidation doesn't exist. Anyone can threaten to ruin someone if they tell the truth under oath -- no repercussions!  ,0.4999422217759717,0.2893864657228697,0.13176993
Earle Hutchison,@EarleHutchison1,1573822816,1195405944429170688,Replying to @MZHemingway She started it!!  ,0.45427029614095565,0.10078926695543873,0.48809907
Quaerite et conteret,@QConteret,1573822831,1195405944429170688,I hired Adam Schiff to fire people like Donald Trump.  ,0.6240730707059963,0.07348739791549765,0.33995956
 Keeper Of Time The Prophet Anonymous ,@Time_Sentinel,1573822839,1195405944429170688,Replying to @MZHemingway Oh look! It's one of these only with a blue checkmark! LOLOLOLOL   ,0.06968611625139878,0.055834662939851794,0.025296433
Merrill Haber,@MerrillHaber,1573822875,1195405944429170688,Replying to @MZHemingway You are an embarrassment to actual conservatives.  ,0.14639244627802814,0.11706308823160119,0.069968954
Derek Ball,@derekinseoul,1573822891,1195405944429170688,Replying to @MZHemingway i never knew @jaketapper was this dumb  ,0.772628047961865,0.2601705320908012,0.066098206
Breathing Easier,@teddysanfran,1573822905,1195405944429170688,Replying to @MZHemingway Who funds The Federalist?  ,0.06152724581562309,0.20679886603989514,0.02251961
Cathy Buffaloe,@cathybuffaloe,1573822946,1195405944429170688,"Replying to @MZHemingway IOW, the Dems are going to impeach a duly elected POTUS because he made an ambassador uncomfortable.  ",0.08609540763845472,0.22991799045263825,0.19342391
bias wreckerᴮᴱ⁷,@outofideas4anam,1573822977,1195405944429170688,"Replying to @MZHemingway  Quote TweetBrian Stelter@brianstelter · Nov 15, 2019Chris Wallace agrees: ""This wasn't just testimony about the past. This played out in real time, with the president attacking her... It does raise the possibility of witness intimidation and witness tampering as a new charge here.""Show this thread ",0.19490608747282212,0.4315096030303095,0.019180479
Greg Boggis,@BoggisNews,1573822978,1195405944429170688,Replying to @MZHemingway Trump's entire election team is in jail or waiting for jail. Except Kellyann who is anonymous.  ,0.009164273165048002,0.26049195725399077,0.04337767
Dana D,@bluesslide,1573823058,1195405944429170688,Replying to @MZHemingway You apparently don’t understand the bigger picture. Trump needed her to be removed so that he could execute his personal plan to pursue a back channel investigation by Giuliani & Co. and to execute leverage against the Ukraine using Congressional funding. The country understands.  ,0.0030361064065919418,0.46280364285133907,0.09499888
Bick Whitener,@bickwhitener,1573823135,1195405944429170688,Replying to @MZHemingway How you make someone feel is not an impeachable offense. Amazing.  ,0.024529131971517397,0.12182180854457492,0.022111434
Dee,@RangoButt,1573823208,1195405944429170688,Replying to @MZHemingway Suddenly now we’re going to impeach a president because he dared to criticize a former disgruntled employee of the State Department via Twitter? #TDSIsReal #ImpeachingHearings  ,0.0002858260448072662,0.2579706142535001,0.032307338
Vickey Ellison,@ellisonteam,1573823237,1195405944429170688,"Replying to @MZHemingway They are not reporting on the news, they are reporting on their feelings.  ",0.22336295656380384,0.11014192619118067,0.021392599
Maltwit,@KMalfet,1573823275,1195405944429170688,Replying to @MZHemingway Tell that to Roger Stone.  ,0.2738146748391308,0.06617689334001459,0.03419357
Bennett Mahan,@bennett_mahan,1573823324,1195405944429170688,Replying to @MZHemingway This was all behind the scenes with talks through proper channels. The only reason this has become public is whistleblower and democrats. They are smearing everyone just to GET TRUMP.  ,0.005595265376923297,0.36391380651035493,0.14778008
Luis Mora,@lumezgo77,1573823324,1195405944429170688,Replying to @MZHemingway Amen  ,0.143841539016962,0.08471113591540645,0.013125644
Mike Spinney,@spinzo,1573823390,1195405944429170688,Replying to @MZHemingway the feelz  ,0.21756517322681304,0.0598575187427231,0.017984929
Q__T ,@Q__Tweet,1573823394,1195405944429170688,Words are hard.  ,0.5686700510964584,0.10152219153523973,0.080543004
